"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[28]",-0.394151,0.03272065,0.666502,0.0793673215028395,0.2512002613511,NA,0.00192136819432747,0.8,17093,0.0690620331645583,1.00003552324487
"proposal_intercept[29]",-0.409022,0.0308456,0.645372,0.0747834141690815,0.248983263626099,NA,0.00190555547828602,0.8,17072,0.0671394417115671,1.00038141883458
"proposal_intercept[30]",-0.518472,0.00225994,0.51291,0.0089431043657677,0.238529934017792,NA,0.00119047873723486,0.5,40146,0.000532275884508935,1.00021047974232
"proposal_intercept[31]",-0.510953,-0.00081171,0.522364,-0.000985241376207242,0.238247419169707,NA,0.00120234104270438,0.5,39265,-0.00139403175516966,1.00025359045304
"proposal_intercept[32]",-0.315554,0.07278235,0.794569,0.144537919673481,0.276519121833939,NA,0.00322102113992154,1.2,7370,0.192042860486771,1.00058433807408
"proposal_intercept[33]",-0.49208,-0.001719445,0.537183,-0.0057087357338804,0.238873077821301,NA,0.00119866656999361,0.5,39713,0.00376956261117224,1.00031369956506
"proposal_intercept[34]",-0.396207,0.030889,0.652564,0.073924831649003,0.249210245371121,NA,0.00186761416895734,0.7,17806,0.0654940964161893,1.00070679203706
"proposal_intercept[35]",-0.412177,0.0250885,0.635279,0.0657042728071213,0.248019886072006,NA,0.00181071770160334,0.7,18762,0.0548676345079527,1.00025665234502
"proposal_intercept[36]",-0.437917,0.02480885,0.613761,0.060197290809118,0.246754726001258,NA,0.00162279554666058,0.7,23121,0.0432130600702079,1.00011066345888
"proposal_intercept[37]",-0.512407,0.00099419,0.517036,0.002887786003513,0.237785027138032,NA,0.0012039292621378,0.5,39009,0.00397659162244368,1.00004940356298
"proposal_intercept[38]",-0.405971,0.03034235,0.638176,0.0724246917970087,0.248925667150958,NA,0.00181867060107979,0.7,18734,0.0514534457835106,1.00018252385211
"proposal_intercept[39]",-0.489882,0.00388487,0.542964,0.0134791161725375,0.239250496653031,NA,0.00118306161662917,0.5,40897,0.00270016917171075,1.00012049240536
"proposal_intercept[40]",-0.40383,0.0333794,0.647825,0.0769340266453205,0.249772657251927,NA,0.00195354387221836,0.8,16347,0.0606135314981507,1.00029922151763
"proposal_intercept[41]",-0.317027,0.0686786,0.773409,0.136466308074434,0.27017434218557,NA,0.0029421175418967,1.1,8433,0.167266218271165,1.00034508978638
"proposal_intercept[42]",-0.628726,-0.02808485,0.409678,-0.0683264419278101,0.246345295495303,NA,0.00173958310603551,0.7,20054,0.053105136842405,1.00061614945247
"tau_proposal",0.000374856,0.2206735,0.505982,0.236493094540575,0.151737447304627,NA,0.00376163686816265,2.5,1627,0.794119657354229,1.00172139669964
"tau_assessor",5.34955e-05,0.1572725,0.455225,0.18558727663828,0.14309263377,NA,0.00183412611492788,1.3,6087,0.492137572246099,1.00054314384469
"rank_theta[1]",4,25,42,23.72765,11.6989720542522,34,0.0618677985309318,0.5,35757,0.0139896094103057,0.999972689112294
"rank_theta[2]",1,21,40,21.25935,11.6788461529246,17,0.0591019928413618,0.5,39048,0.00187475127788903,1.00004481378316
"rank_theta[3]",1,21,40,21.30885,11.6512705521813,26,0.0586822336852919,0.5,39422,-0.000127409721492389,1.00001286449637
"rank_theta[4]",4,25,42,24.2241,11.6246938681281,40,0.0611386326827789,0.5,36152,0.0165199832065384,1.00005499240033
"rank_theta[5]",8,35,42,31.045025,10.9557769453205,42,0.141881809277384,1.3,5963,0.176976011195538,1.00046180649855
"rank_theta[6]",4,25,42,24.122875,11.6454569318287,38,0.0656489797586089,0.6,31467,0.00946049398293859,1.00000346294747
"rank_theta[7]",4,25,42,24.3087,11.6508282046792,40,0.0658751152686026,0.6,31280,0.0127704621962743,0.999998541340824
"rank_theta[8]",6,29,42,27.010975,11.4904788989412,42,0.0880166606954521,0.8,17043,0.0591545713817164,1.00013749828993
"rank_theta[9]",1,18,39,18.6637,11.5849496151878,3,0.0617421598412295,0.5,35207,0.0194885803525728,1.00002477693801
"rank_theta[10]",4,25,42,24.228325,11.6416335144664,40,0.060832551845461,0.5,36623,0.0130591612873303,1.00013417059763
"rank_theta[11]",1,22,40,21.5699,11.6093554264825,22,0.0601460334701491,0.5,37257,0.00286587399392657,1.00001718552733
"rank_theta[12]",1,18,39,18.909525,11.6641262240419,4,0.0684517284021049,0.6,29036,0.0113450920486586,1.00007419021275
"rank_theta[13]",5,28,42,26.444825,11.5082803551307,42,0.0931996659798676,0.8,15247,0.0504815921079755,1.00017798785856
"rank_theta[14]",1,21,40,21.375175,11.6789480975424,17,0.0578852410290046,0.5,40707,-0.00139322299829979,1.00001415165489
"rank_theta[15]",5,29,42,26.732325,11.4616298718094,42,0.0864774900330137,0.8,17567,0.0504464601618338,0.999983517658247
"rank_theta[16]",1,18,39,18.71055,11.6188378778752,1,0.0673729644512758,0.6,29741,0.0162290587653475,1.00004579565904
"rank_theta[17]",1,18,39,18.942325,11.6254796627406,2,0.0618568774228541,0.5,35322,0.0141173884526298,0.999980675235272
"rank_theta[18]",1,21,40,21.388725,11.6346272818763,25,0.0575324443729325,0.5,40896,0.00120184512453605,0.99998734535453
"rank_theta[19]",6,29,42,27.17355,11.4860645409759,42,0.0981942102793234,0.9,13683,0.0672194808116671,1.00012414019912
"rank_theta[20]",1,21,40,21.356875,11.6587612293161,29,0.0582938061465803,0.5,40000,0.00109893615215212,1.00011049209361
"rank_theta[21]",4,25,42,24.2573500000001,11.6072925012023,38,0.0659875608686471,0.6,30941,0.0159122994060509,1.00020722071545
"rank_theta[22]",1,10,36,13.090275,11.18416078929,1,0.129239773332596,1.2,7489,0.134540479362744,1.00008191303231
"rank_theta[23]",1,14,37,15.82185,11.4581191645865,1,0.09454791616912,0.8,14687,0.0597371789814463,1.00001827915256
"rank_theta[24]",1,21,40,21.16245,11.6642235639705,19,0.0580371322837466,0.5,40392,-0.000965374954032388,1.00000080758123
"rank_theta[25]",4,25,42,24.127075,11.5834507532367,37,0.063790009687081,0.6,32974,0.011662831785102,1.00003646673192
"rank_theta[26]",4,26,42,24.665575,11.5989503107208,38,0.0700417526743238,0.6,27424,0.0241722288169257,1.00014571427688
"rank_theta[27]",4,24,42,23.6288,11.6559215454066,35,0.0605826605728591,0.5,37017,0.0113584562133301,0.999995586938109
"rank_theta[28]",1,17,39,18.334175,11.6413826547421,3,0.068323364877792,0.6,29032,0.0187466757466917,1.00000139869726
"rank_theta[29]",1,17,39,18.533175,11.6411398635533,2,0.0659640357004844,0.6,31144,0.0189797549715494,1.00020800228105
"rank_theta[30]",1,21,40,21.197225,11.6864661740264,15,0.0586198917016426,0.5,39744,-0.00267931037806723,1.00001576381404
"rank_theta[31]",1,22,40,21.568575,11.6871066642229,25,0.0589270525930171,0.5,39335,0.00173479564959524,0.999987076534307
"rank_theta[32]",1,14,37,15.9223,11.4925982573727,1,0.0956818119390136,0.8,14427,0.0631381405920891,1.00019085379486
