"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[13]",-0.729302,-0.0523053,0.333726,-0.119896917806054,0.260500189122588,NA,0.00298802019543315,1.1,7601,0.15813498884251,1.00011529766575
"proposal_intercept[14]",-0.501527,0.00138562,0.509598,0.00510936284272467,0.233632301936006,NA,0.00117682238131462,0.5,39413,0.00378130014105208,1.00005140377495
"proposal_intercept[15]",-0.739822,-0.05417265,0.339008,-0.123384920696163,0.263328763341813,NA,0.00311561973892243,1.2,7143,0.160962600638395,0.999995172162319
"proposal_intercept[16]",-0.407967,0.02282925,0.623687,0.0673254817858545,0.242906062763702,NA,0.00186491320718654,0.8,16965,0.0579569073434969,1.00010085931448
"proposal_intercept[17]",-0.404014,0.02124425,0.616481,0.0603954509233755,0.239101835549187,NA,0.00164431605213701,0.7,21144,0.0481205019104636,1.00018503483933
"proposal_intercept[18]",-0.526742,0.0006380085,0.487729,0.0022842944231039,0.232982013912711,NA,0.00116864810351478,0.5,39745,-0.00296706538093571,1.00009209331655
"proposal_intercept[19]",-0.779594,-0.06641985,0.310117,-0.139440358501667,0.269642950598071,NA,0.00345382229277523,1.3,6095,0.202850147976874,1.00005674656401
"proposal_intercept[20]",-0.485985,0.00154927,0.518629,0.00574195635828476,0.231743889549656,NA,0.00112743016042248,0.5,42251,0.000398831144308201,1.00005734303369
"proposal_intercept[21]",-0.618966,-0.02378985,0.406305,-0.0657458774042021,0.24119943228211,NA,0.00183077727955124,0.8,17357,0.0539562541731577,1.00000501333836
"proposal_intercept[22]",-0.243901,0.1186145,0.965947,0.221926358411499,0.322227484133915,NA,0.00568644389509574,1.8,3211,0.367564323803372,1.00024579689811
"proposal_intercept[23]",-0.320947,0.0640176,0.769327,0.139600521931623,0.270728387089944,NA,0.00361401141290646,1.3,5612,0.202854087849675,1.00007803861133
"proposal_intercept[24]",-0.502071,0.00137015,0.504022,0.00649239566604865,0.232808281336973,NA,0.00117751063540717,0.5,39090,0.000261932278773812,1.00004810753059
"proposal_intercept[25]",-0.608717,-0.020262,0.414946,-0.0593412631292642,0.239546800881361,NA,0.001680216186035,0.7,20326,0.0489043773089091,1.0000175952127
"proposal_intercept[26]",-0.644989,-0.0273185,0.384264,-0.077386590975103,0.244666790748116,NA,0.00199779057347962,0.8,14999,0.0816504385565834,1.00020748840656
"proposal_intercept[27]",-0.610381,-0.01576015,0.42605,-0.0498307911706876,0.239199709626767,NA,0.00153672235624136,0.6,24229,0.033192200411331,1.00015946413567
"proposal_intercept[28]",-0.381822,0.0278289,0.641337,0.0756891813050109,0.242567096034411,NA,0.00199839818381752,0.8,14733,0.0715268501673813,1.00015464515414
"proposal_intercept[29]",-0.376386,0.02673125,0.646373,0.0729127960236668,0.242702205404212,NA,0.00193215351744664,0.8,15778,0.0687634831591675,1.00006143422364
"proposal_intercept[30]",-0.498243,0.00153865,0.520249,0.0083592189128995,0.234196148311839,NA,0.00118476466998858,0.5,39075,0.00296362902821045,1.00004090806329
"proposal_intercept[31]",-0.520094,-0.0004889715,0.492664,-0.00210807991763624,0.231734152761964,NA,0.00113075432638951,0.5,41999,0.00157159008682216,0.999993554138185
"proposal_intercept[32]",-0.31503,0.06516585,0.775727,0.140790074587375,0.271717879442679,NA,0.00348508264832479,1.3,6079,0.207513007386181,1.00026295693554
"proposal_intercept[33]",-0.507692,-0.00107759,0.501533,-0.00641561272376277,0.232599148853462,NA,0.00118390533593992,0.5,38600,0.00712685511305413,1.00015281244164
