"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[37]",-0.570151,-0.001872665,0.540132,-0.00427818479966126,0.26937698621294,NA,0.00133835068238335,0.5,40512,-0.000924536374816255,1.00020857381244
"proposal_intercept[38]",-0.282942,0.193875,0.902043,0.234878327106754,0.304296634418475,NA,0.00320171419822322,1.1,9033,0.138323782026841,1.00022211668744
"proposal_intercept[39]",-0.431666,0.0740215,0.699293,0.106233390073874,0.279003878215646,NA,0.00183967083176452,0.7,23001,0.0388363949335399,1.0002435969446
"proposal_intercept[40]",-0.242581,0.2447015,0.962289,0.288538386566294,0.318229309365029,NA,0.00374635155723492,1.2,7215,0.18432938818348,1.00047930855533
"proposal_intercept[41]",-0.236675,0.2518535,0.968091,0.294083307734929,0.317911245443966,NA,0.00370970868904917,1.2,7344,0.189478193978983,1.00073910829724
"proposal_intercept[42]",-1.03941,-0.295541,0.214851,-0.337346503817147,0.336879522500252,NA,0.00439323395212345,1.3,5880,0.240176855151068,1.00052036297185
"tau_proposal",0.000226674,0.3466025,0.564175,0.33441823332005,0.150232118895107,NA,0.00348048249841575,2.3,1863,0.68775433040216,1.00315058218024
"tau_assessor",4.80163e-05,0.1691165,0.416394,0.186459900751858,0.126901315199751,NA,0.0015644065468905,1.2,6580,0.428189672730638,1.00061644970419
"rank_theta[1]",10,33,42,30.308325,9.9994655070726,42,0.0877083008746134,0.9,12998,0.0805347425432541,1.00023517555759
"rank_theta[2]",3,23,40,22.60395,10.7175937629629,24,0.0541967797251539,0.5,39106,-0.000374221841953507,1.00000360407494
"rank_theta[3]",8,30,42,28.134475,10.3793971294818,39,0.076352918280425,0.7,18480,0.0490742249973062,1.00025940363946
"rank_theta[4]",8,30,42,27.6707,10.3451286629109,36,0.0763928953906719,0.7,18339,0.0390515767259113,1.0001708358751
"rank_theta[5]",12,35,42,32.2811,9.50569259679603,42,0.106074591479039,1.1,8031,0.125116195965851,1.00092616576126
"rank_theta[6]",4,25,41,23.94155,10.7274792270955,28,0.0536373961354775,0.5,40000,0.00565078317030387,0.999980692207928
"rank_theta[7]",7,28,42,26.044025,10.5246784283782,36,0.0598227904526076,0.6,30952,0.0173629709137782,1.00033272156045
"rank_theta[8]",6,27,42,25.8523,10.5732790356513,34,0.0620975474785371,0.6,28991,0.0260769217410849,1.00025558778214
"rank_theta[9]",1,13,35,14.965075,10.2868095494014,3,0.0753085378493007,0.7,18658,0.0427362327965608,1.00021388240981
"rank_theta[10]",3,24,40,23.41815,10.6976147599145,29,0.0536468993742054,0.5,39764,0.000917377616763882,1.00002183040387
"rank_theta[11]",1,20,38,20.152875,10.6928393167908,20,0.0538049361128491,0.5,39495,0.00264495828470379,1.00014648767796
"rank_theta[12]",1,14,36,15.79685,10.4277753399257,7,0.0701409956329089,0.7,22102,0.0341421235654377,1.00011354745491
"rank_theta[13]",6,25,42,24.17,10.6659056829979,32,0.0569979080453784,0.5,35017,0.00811387166193371,1.00007770769918
"rank_theta[14]",1,20,38,20.169975,10.7427076960882,17,0.0539965132003338,0.5,39582,-0.00117246456134326,1.00003462556879
"rank_theta[15]",8,29,42,27.5402,10.3377272973874,39,0.0695400187822119,0.7,22099,0.031734420534453,1.00023431860775
"rank_theta[16]",1,11,34,13.7785,10.1692464366504,2,0.0848395755093343,0.8,14367,0.0647515590097975,1.00017630232988
"rank_theta[17]",1,18,37,18.5603,10.6565263077996,8,0.0545688743715649,0.5,38137,0.00555930581715877,1.00011480860517
"rank_theta[18]",3,22,40,22.04195,10.7130602275437,23,0.0539220236880419,0.5,39473,-0.00380671526092379,0.999979438458401
"rank_theta[19]",12,36,42,32.9604249999999,9.42552278822609,42,0.115330888290779,1.2,6679,0.141207332933077,1.00079689897379
"rank_theta[20]",8,29,42,27.37095,10.4214519748466,38,0.0680033605499119,0.7,23485,0.0340290093638401,1.000228869274
"rank_theta[21]",12,35,42,32.1131250000001,9.56307555364512,42,0.112394509554993,1.2,7239,0.118827411189156,1.00070459841194
"rank_theta[22]",1,5,29,8.7783249999999,9.09458646569182,1,0.12216361238043,1.3,5542,0.184359379401424,1.00050345823454
"rank_theta[23]",1,15,36,16.794825,10.4751955333737,9,0.0609775934375683,0.6,29511,0.0241945763336921,1.00032224369311
"rank_theta[24]",3,23,40,22.309675,10.7319665379662,24,0.0528041173123837,0.5,41307,0.00338436333034725,1.0000309215948
"rank_theta[25]",7,28,42,26.7827,10.507851401858,38,0.0651034991012624,0.6,26051,0.0295041484244557,1.00004558982538
"rank_theta[26]",7,29,42,27.06365,10.4673725368258,34,0.069210196424701,0.7,22874,0.0339959164646876,1.0001945243792
"rank_theta[27]",1,19,38,19.457325,10.6403622718922,14,0.0540358168258708,0.5,38775,0.00874028074681588,1.00005250111599
"rank_theta[28]",1,17,37,17.968175,10.6095935952458,10,0.056150537049564,0.5,35702,0.0124731613066203,1.00011093386977
"rank_theta[29]",1,10,33,12.7347750000001,9.96812243032756,1,0.091966428207691,0.9,11748,0.0862047335439682,1.00069815001241
"rank_theta[30]",4,25,41,23.96875,10.6876952196546,33,0.0551068687961684,0.5,37615,0.00926842408114107,1.00006576910385
"rank_theta[31]",3,22,40,21.895175,10.679379099359,20,0.0537523548236912,0.5,39473,-0.000935044450251799,0.999959833024495
"rank_theta[32]",1,9,32,11.6179,9.82777514084937,1,0.101089000347436,1,9452,0.115634581959315,1.00019808609153
"rank_theta[33]",4,24,41,23.541875,10.7317531534937,28,0.0557338865732208,0.5,37077,0.00904583773748494,1.00024804070813
"rank_theta[34]",1,13,35,15.2293750000001,10.3830369977095,4,0.0687971679205648,0.7,22778,0.0439588459344414,1.00013751596877
"rank_theta[35]",1,17,37,17.820725,10.6208382686857,13,0.0587454306398968,0.6,32687,0.0167027745987854,0.999974480694464
"rank_theta[36]",1,16,37,17.540625,10.6258704272834,8,0.0602334966161164,0.6,31121,0.0200818620990241,1.00002348386225
"rank_theta[37]",3,22,40,21.69865,10.700490675199,21,0.0533224616986091,0.5,40270,-0.00386421125753484,0.999995663503881
"rank_theta[38]",1,11,34,13.760475,10.1523016850916,3,0.0881114990311925,0.9,13276,0.0621461059758527,1.00012281084109
"rank_theta[39]",1,17,37,17.87345,10.6156560042847,8,0.0600690883910581,0.6,31231,0.0199718953338329,1.00003398707578
"rank_theta[40]",1,9,32,12.1710500000001,9.79961951869101,1,0.0954337475704332,1,10544,0.0859616228482355,1.0001668507226
"rank_theta[41]",1,9,32,11.9817749999999,9.76446242593593,1,0.0931668389255147,1,10984,0.088238637754263,1.00035915666481
"rank_theta[42]",12,35,42,32.135925,9.58336294916982,42,0.115942004708037,1.2,6832,0.126695725623263,1.00048483703847
"assessor_intercept[1]",-0.444871,-0.0849509,0.152427,-0.115341737465384,0.15429837814369,NA,0.00120467309152649,0.8,16405,0.127415039279514,1.00004556930896
"assessor_intercept[2]",-0.463393,-0.0813406,0.164702,-0.114661886153903,0.161521299064469,NA,0.00123460438152204,0.8,17116,0.118883756021654,0.999987778231198
"assessor_intercept[3]",-0.132835,0.1031675,0.513246,0.138321525888837,0.169906849238814,NA,0.0014368979655068,0.8,13982,0.161566825617496,1.00014917942803
"assessor_intercept[4]",-0.413526,-0.04394795,0.207618,-0.0711317795680975,0.152083964605779,NA,0.000944786877422048,0.6,25912,0.0554981645996123,1.00002621899914
"assessor_intercept[5]",-0.167157,0.066384,0.449076,0.0979786482322555,0.155828698834116,NA,0.00111624389428319,0.7,19488,0.0945706257830202,1.00004650678236
"assessor_intercept[6]",-0.304826,0.01142805,0.371824,0.0257320998639667,0.160633523782828,NA,0.000854743896142029,0.5,35318,0.0144852614739413,1.00004896189227
"assessor_intercept[7]",-0.419753,-0.04326895,0.22439,-0.0730707692602703,0.158115619465576,NA,0.00107519823062252,0.7,21626,0.0715830850596517,1.00006215783905
"assessor_intercept[8]",-0.244189,0.0108267,0.321305,0.0209515714017093,0.135070949361587,NA,0.000711979530023863,0.5,35991,0.0188770587007115,1.00019176609725
"assessor_intercept[9]",-0.181782,0.07131885,0.505321,0.108755806464824,0.173269833689873,NA,0.00128002874048307,0.7,18323,0.112452176132811,0.999989860241878
"sigma",0.539079,0.6801765,0.837697,0.6837395434,0.0773551880639558,NA,0.00103662449030299,1.3,5568,0.252916997994259,1.00076130467703
